"Source:","ESPKey.sch"
"Date:","Thu 18 Aug 2016 11:03:30 PM PDT"
"Tool:","Eeschema 4.1.0-alpha+201607281303+6996~46~ubuntu16.04.1-product"
"Generator:","/usr/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","32"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C3, ","1","np","C","Capacitors_SMD:C_0402","Unpolarized capacitor",""
"C4, C1, ","2","22u","C","Capacitors_SMD:C_0805","Unpolarized capacitor",""
"C5, C2, ","2","100n","C","Capacitors_SMD:C_0603","Unpolarized capacitor",""
"D1, ","1","PWR","Led_Small","LEDs:LED_0603","Led",""
"L1, ","1","3.6uH","INDUCTOR_SMALL","Custom_Inductors:ELL4_M-small","",""
"P1, ","1","Power","CONN_2","Connector_IDC_SMD:SSL_DW_IDC_02","",""
"P2, ","1","Wiegand","CONN_3","Connector_IDC_SMD:SSL_DW_IDC_03","",""
"Q1, Q2, Q3, ","3","2N7002","Q_NMOS_GSD","TO_SOT_Packages_SMD:SOT-23","Transistor N-MOSFET (general)",""
"R2, R1, ","2","75k","R","Resistors_SMD:R_0402","Resistor",""
"R3, ","1","24k","R","Resistors_SMD:R_0402","Resistor",""
"R6, R4, R5, R7, R8, R9, R10, R12, R13, R15, R16, ","11","12k7","R","Resistors_SMD:R_0402","Resistor",""
"R11, R14, R17, ","3","22k","R","Resistors_SMD:R_0402","Resistor",""
"R18, ","1","330","R","Resistors_SMD:R_0402","Resistor",""
"U1, ","1","RT6212A/B","RT6212A/B","TO_SOT_Packages_SMD:SOT-23-6","700 mA Low Dropout Voltage Regulator, Adjustable 3.75V-30V, SO8",""
"U2, ","1","ESP-12","ESP-12","ESP8266:ESP-12-SMD","ESP8622 ESP-12 module, 16 pins, 2mm, PCB antenna",""
